packet_no,timestamp_sec,timestamp_usec,src_ip,dst_ip,src_port,dst_port,protocol,packet_len,ttl,tcp_flags,icmp_type,icmp_code
4,1773234296,53377,192.168.100.43,224.0.0.251,5353,5353,UDP,160,255,NONE,-1,-1
49,1773234296,326574,192.168.100.43,224.0.0.22,0,0,OTHER,54,1,NONE,-1,-1
50,1773234296,365723,192.168.100.42,192.168.100.255,6537,6537,UDP,272,64,NONE,-1,-1
51,1773234296,442236,155.133.229.4,192.168.100.37,27019,49776,TCP,258,54,PSH|ACK,-1,-1
52,1773234296,490692,192.168.100.37,155.133.229.4,49776,27019,TCP,54,128,ACK,-1,-1
53,1773234296,607578,192.168.100.37,13.107.137.11,64482,443,TCP,66,128,SYN,-1,-1
54,1773234296,645695,192.168.100.42,192.168.100.255,6537,6537,UDP,272,64,NONE,-1,-1
55,1773234296,670869,13.107.137.11,192.168.100.37,443,64482,TCP,66,116,SYN|ACK,-1,-1
56,1773234296,671012,192.168.100.37,13.107.137.11,64482,443,TCP,54,128,ACK,-1,-1
57,1773234296,673960,192.168.100.37,13.107.137.11,64482,443,TCP,982,128,PSH|ACK,-1,-1
58,1773234296,737089,13.107.137.11,192.168.100.37,443,64482,TCP,54,117,ACK,-1,-1
59,1773234296,739776,13.107.137.11,192.168.100.37,443,64482,TCP,8286,117,ACK,-1,-1
60,1773234296,739776,13.107.137.11,192.168.100.37,443,64482,TCP,69,117,PSH|ACK,-1,-1
61,1773234296,739874,192.168.100.37,13.107.137.11,64482,443,TCP,54,128,ACK,-1,-1
62,1773234296,744611,192.168.100.37,13.107.137.11,64482,443,TCP,134,128,PSH|ACK,-1,-1
63,1773234296,745317,192.168.100.37,13.107.137.11,64482,443,TCP,1426,128,ACK,-1,-1
64,1773234296,745317,192.168.100.37,13.107.137.11,64482,443,TCP,1371,128,PSH|ACK,-1,-1
65,1773234296,745441,192.168.100.37,13.107.137.11,64482,443,TCP,1341,128,PSH|ACK,-1,-1
66,1773234296,809423,13.107.137.11,192.168.100.37,443,64482,TCP,54,117,ACK,-1,-1
67,1773234296,809423,13.107.137.11,192.168.100.37,443,64482,TCP,513,117,PSH|ACK,-1,-1
68,1773234296,809423,13.107.137.11,192.168.100.37,443,64482,TCP,54,117,ACK,-1,-1
69,1773234296,809423,13.107.137.11,192.168.100.37,443,64482,TCP,54,117,ACK,-1,-1
